,Scientific Name,Common Name,count,min_dbh,max_dbh,mean_dbh,min_htotal,max_htotal,mean_htotal
1,Pinus nigra,Austrian Pine,175,13,90,38.5,4.9,27.4,13.6
2,Acer saccharum,Sugar Maple,127,1.4,136,28.6,2.3,31,11.7
3,Acer platanoides,Norway Maple,100,0,102,29.6,4,30.3,13.9
4,Picea pungens,Colorado Blue Spruce,64,0,53.9,27.5,3.2,22.2,11.3
5,Quercus rubra,Northern Red Oak,55,1.7,104,24.4,2,23.6,9.72
6,Quercus robur,English Oak,54,1.6,107,19.8,2.4,19,8.23
7,Gleditsia triacanthos,Honey Locust,53,2.4,62.3,23.1,2.1,19.7,10.2
8,Malus hybrid,Hybrid Crabapple,43,2.3,38.3,19.8,2,15.8,6.77
9,Acer rubrum,Red Maple,39,1.5,104,18.9,1.8,24.9,7.96
10,Pinus sylvestris,Scots Pine,38,8.4,72.8,32.2,2.9,24.2,13.3
